prices,latitudes,longitudes,metro_stations,areas,floors,min_books
75000,55.86229324,37.64708328,"[['—виблово', '11Ц15'], ['Ѕабушкинска€', '16Ц20'], ['Ѕотанический сад', '21Ц30']]",50,3,11 мес.
190000,55.53775251475348,37.61392768177859,"[['Ѕутовоот', '31'], ['”лица —кобелевска€от', '31'], ['”лица —тарокачаловска€от', '31']]",71,1,11 мес.
33000,55.625166984824375,37.31239816226906,"[['ѕыхтино', '11Ц15'], ['–ассказовка', '21Ц30'], ['ћичуринецот', '31']]",53,8,6 мес.
300000,55.79884437328936,37.53756876190186,"[['јэропортдо', '5'], ['√ражданска€', '16Ц20'], ['—окол', '16Ц20']]",57,1,11 мес.
230000,55.817355,37.792465,"[['ўЄлковска€', '11Ц15'], ['ѕервомайска€от', '31'], ['Ћокомотивот', '31']]",80,1,11 мес.
99000,55.70846,37.662084,"[['јвтозаводска€до', '5'], ['ƒубровка', '11Ц15'], ['«»Ћ', '16Ц20']]",83,,12 мес.
80000,55.74979,37.763962,"[['Ўоссе Ёнтузиастов', '11Ц15'], ['ѕерово', '16Ц20'], ['ѕерово', '21Ц30']]",100,3,11 мес.
115000,56.009436,37.198239,[],100,2,12 мес.
100000,55.726487,37.747693,"[['—тахановска€до', '5'], ['Ќижегородска€', '16Ц20'], ['„ухлинка', '16Ц20']]",60,1,11 мес.
280000,55.643988,37.543192,"[['Ѕел€ево', '11Ц15'], [' алужска€', '16Ц20'], ['¬оронцовска€', '21Ц30']]",80.4,1,11 мес.
4500,55.795444,37.526905,"[['јэропорт', '11Ц15'], ['÷— ј', '16Ц20'], ['—окол', '16Ц20']]",88.9,1,11 мес.
68750,55.654569,37.540542,"[[' алужска€до', '5'], ['¬оронцовска€', '6Ц10'], ['Ѕел€ево', '16Ц20']]",50,3,11 мес.
150000,55.849453,37.436715,"[['—ходненска€до', '5'], ['ѕланерна€', '16Ц20'], ['“ушинска€от', '31']]",67.5,,12 мес.
4700,55.68401718,37.7518425,"[['¬олжска€', '6Ц10'], ['Ћюблино', '11Ц15'], ['Ћюблино', '16Ц20']]",54,1,11 мес.
265000,55.72849048590173,37.72001980959652,"[['Ќовохохловска€', '11Ц15'], ['Ќижегородска€', '11Ц15'], [' алитники', '16Ц20']]",89,1,36 мес.
280000,55.803995,37.637048,"[['јлексеевска€', '6Ц10'], ['–ижска€', '16Ц20'], ['¬ƒЌ’', '21Ц30']]",100,,11 мес.
195000,55.604692,37.661105,"[['ѕокровское', '21Ц30'], ['÷арицыно', '21Ц30'], [' антемировска€от', '31']]",86,1,11 мес.
200000,55.672146334923724,37.570375326961226,"[['ѕрофсоюзна€', '11Ц15'], ['Ќовые „ерЄмушки', '11Ц15'], ['јкадемическа€', '21Ц30']]",60,1,36 мес.
80000,55.72518539,37.79896927,"[['¬ешн€ки', '6Ц10'], ['–€занский проспект', '11Ц15'], ['ќкска€', '16Ц20']]",80,1,1 мес.
75000,55.713303,37.884834,"[['”лица ƒмитриевского', '6Ц10'], ['Ћухмановска€', '11Ц15'], ['”хтомска€от', '31']]",59,1,3 мес.
300000,55.697514857640506,37.63509113491819,"[['«»Ћ', '11Ц15'], ['“ульска€', '21Ц30'], ['“ехнопарк', '21Ц30']]",70,1,36 мес.
350000,55.643886,37.512496,"[['”ниверситет дружбы народов', '11Ц15'], ['Ѕел€ево', '11Ц15'], [' оньково', '16Ц20']]",98.5,1,11 мес.
150000,55.775732,37.684668,"[['Ѕауманска€', '6Ц10'], [' расносельска€', '16Ц20'], ['ћитьково', '21Ц30']]",53.49,1,11 мес.
250000,55.69478911416265,37.46311985838367,"[['јминьевска€', '6Ц10'], ['ћатвеевска€', '21Ц30'], ['ќчаково', '21Ц30']]",60,1,11 мес.
19990,55.786424,37.718857,"[['—емЄновска€', '6Ц10'], ['Ёлектрозаводска€', '11Ц15'], ['ѕреображенска€ площадь', '11Ц15']]",96.2,2,11 мес.
4700,55.68401718,37.7518425,"[['¬олжска€', '6Ц10'], ['Ћюблино', '11Ц15'], ['Ћюблино', '16Ц20']]",54,1,11 мес.
220000,55.737816,37.485691,"[['‘илЄвский паркдо', '5'], ['Ѕагратионовска€', '11Ц15'], ['ѕионерска€', '16Ц20']]",55,1,11 мес.
128400,55.590765,37.631595,"[[' расный —троитель', '21Ц30'], ['ѕокровское', '21Ц30'], ['”лица академика янгел€от', '31']]",70,1,6 мес.
